player_name,nba_team,college,draft_year,round,round_pick,overall_pick,player_name_clean,player_year_key,college_clean
Precious Achiuwa,Miami Heat,Memphis,2020,1,20,20,Precious Achiuwa,Precious Achiuwa_2020,Memphis
Tyrese Maxey,Philadelphia 76ers,Kentucky,2020,1,21,21,Tyrese Maxey,Tyrese Maxey_2020,Kentucky
Zeke Nnaji,Denver Nuggets,Arizona,2020,1,22,22,Zeke Nnaji,Zeke Nnaji_2020,Arizona
Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23,Leandro Bolmaro,Leandro Bolmaro_2020,FC Barcelona Basquet (Spain)
R.J. Hampton,Milwaukee Bucks,Breakers (New Zealand),2020,1,24,24,Rj Hampton,Rj Hampton_2020,Breakers (New Zealand)
Immanuel Quickley,Oklahoma City Thunder,Kentucky,2020,1,25,25,Immanuel Quickley,Immanuel Quickley_2020,Kentucky
Payton Pritchard,Boston Celtics,Oregon,2020,1,26,26,Payton Pritchard,Payton Pritchard_2020,Oregon
Udoka Azubuike,Utah Jazz,Kansas,2020,1,27,27,Udoka Azubuike,Udoka Azubuike_2020,Kansas
Jaden McDaniels,Los Angeles Lakers,Washington,2020,1,28,28,Jaden McDaniels,Jaden McDaniels_2020,Washington
Malachi Flynn,Toronto Raptors,San Diego State,2020,1,29,29,Malachi Flynn,Malachi Flynn_2020,San Diego St.
Desmond Bane,Boston Celtics,Texas Christian,2020,1,30,30,Desmond Bane,Desmond Bane_2020,Texas Christian
Tyrell Terry,Dallas Mavericks,Stanford,2020,2,1,31,Tyrell Terry,Tyrell Terry_2020,Stanford
Vernon Carey Jr.,Charlotte Hornets,Duke,2020,2,2,32,Vernon Carey Jr,Vernon Carey Jr_2020,Duke
Daniel Oturu,Minnesota Timberwolves,Minnesota,2020,2,3,33,Daniel Oturu,Daniel Oturu_2020,Minnesota
Theo Maledon,Philadelphia 76ers,ASVEL Basket (France),2020,2,4,34,Theo Maledon,Theo Maledon_2020,ASVEL Basket (France)
Xavier Tillman Sr.,Sacramento Kings,Michigan State,2020,2,5,35,Xavier Tillman Sr,Xavier Tillman Sr_2020,Michigan St.
Tyler Bey,Philadelphia 76ers,Colorado,2020,2,6,36,Tyler Bey,Tyler Bey_2020,Colorado
Vit Krejci,Washington Wizards,Basket Zaragoza 2002 (Spain),2020,2,7,37,Vit Krejci,Vit Krejci_2020,Basket Zaragoza 2002 (Spain)
Saben Lee,Utah Jazz,Vanderbilt,2020,2,8,38,Saben Lee,Saben Lee_2020,Vanderbilt
Elijah Hughes,New Orleans Pelicans,Syracuse,2020,2,9,39,Elijah Hughes,Elijah Hughes_2020,Syracuse
Robert Woodard II,Memphis Grizzlies,Mississippi State,2020,2,10,40,Robert Woodard Ii,Robert Woodard Ii_2020,Mississippi St.
Tre Jones,San Antonio Spurs,Duke,2020,2,11,41,Tre Jones,Tre Jones_2020,Duke
Nick Richards,New Orleans Pelicans,Kentucky,2020,2,12,42,Nick Richards,Nick Richards_2020,Kentucky
Jahmi'us Ramsey,Sacramento Kings,Texas Tech,2020,2,13,43,Jahmi'Us Ramsey,Jahmi'Us Ramsey_2020,Texas Tech
Marko Simonovic,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14,44,Marko Simonovic,Marko Simonovic_2020,KK Mega Leks (Serbia)
Jordan Nwora,Milwaukee Bucks,Louisville,2020,2,15,45,Jordan Nwora,Jordan Nwora_2020,Louisville
CJ Elleby,Portland Trail Blazers,Washington State,2020,2,16,46,Cj Elleby,Cj Elleby_2020,Washington St.
Yam Madar,Boston Celtics,Hapoel Galil Elyon (Israel),2020,2,17,47,Yam Madar,Yam Madar_2020,Hapoel Galil Elyon (Israel)
Nico Mannion,Golden State Warriors,Arizona,2020,2,18,48,Nico Mannion,Nico Mannion_2020,Arizona
Isaiah Joe,Philadelphia 76ers,Arkansas,2020,2,19,49,Isaiah Joe,Isaiah Joe_2020,Arkansas
Skylar Mays,Atlanta Hawks,Louisiana State,2020,2,20,50,Skylar Mays,Skylar Mays_2020,Louisiana Tech
Justinian Jessup,Golden State Warriors,Boise State,2020,2,21,51,Justinian Jessup,Justinian Jessup_2020,Boise St.
Kenyon Martin Jr.,Sacramento Kings,IMG Academy,2020,2,22,52,Kenyon Martin Jr,Kenyon Martin Jr_2020,IMG Academy
Cassius Winston,Oklahoma City Thunder,Michigan State,2020,2,23,53,Cassius Winston,Cassius Winston_2020,Michigan St.
Cassius Stanley,Indiana Pacers,Duke,2020,2,24,54,Cassius Stanley,Cassius Stanley_2020,Duke
Jay Scrubb,Brooklyn Nets,John A. Logan,2020,2,25,55,Jay Scrubb,Jay Scrubb_2020,John A. Logan
Grant Riller,Charlotte Hornets,College of Charleston,2020,2,26,56,Grant Riller,Grant Riller_2020,College of Charleston
Reggie Perry,LA Clippers,Mississippi State,2020,2,27,57,Reggie Perry,Reggie Perry_2020,Mississippi St.
Paul Reed,Philadelphia 76ers,DePaul,2020,2,28,58,Paul Reed,Paul Reed_2020,DePaul
Jalen Harris,Toronto Raptors,Nevada-Reno,2020,2,29,59,Jalen Harris,Jalen Harris_2020,Nevada-Reno
Sam Merrill,New Orleans Pelicans,Utah State,2020,2,30,60,Sam Merrill,Sam Merrill_2020,Utah St.
Zion Williamson,New Orleans Pelicans,Duke,2019,1,1,1,Zion Williamson,Zion Williamson_2019,Duke
Ja Morant,Memphis Grizzlies,Murray State,2019,1,2,2,Ja Morant,Ja Morant_2019,Murray St.
RJ Barrett,New York Knicks,Duke,2019,1,3,3,Rj Barrett,Rj Barrett_2019,Duke
De'Andre Hunter,Los Angeles Lakers,Virginia,2019,1,4,4,De'Andre Hunter,De'Andre Hunter_2019,Virginia
Darius Garland,Cleveland Cavaliers,Vanderbilt,2019,1,5,5,Darius Garland,Darius Garland_2019,Vanderbilt
Jarrett Culver,Phoenix Suns,Texas Tech,2019,1,6,6,Jarrett Culver,Jarrett Culver_2019,Texas Tech
Coby White,Chicago Bulls,North Carolina,2019,1,7,7,Coby White,Coby White_2019,North Carolina
Jaxson Hayes,Atlanta Hawks,Texas,2019,1,8,8,Jaxson Hayes,Jaxson Hayes_2019,Texas
Rui Hachimura,Washington Wizards,Gonzaga,2019,1,9,9,Rui Hachimura,Rui Hachimura_2019,Gonzaga
Cam Reddish,Atlanta Hawks,Duke,2019,1,10,10,Cam Reddish,Cam Reddish_2019,Duke
Cameron Johnson,Minnesota Timberwolves,North Carolina,2019,1,11,11,Cameron Johnson,Cameron Johnson_2019,North Carolina
P.J. Washington,Charlotte Hornets,Kentucky,2019,1,12,12,Pj Washington,Pj Washington_2019,Kentucky
Tyler Herro,Miami Heat,Kentucky,2019,1,13,13,Tyler Herro,Tyler Herro_2019,Kentucky
Romeo Langford,Boston Celtics,Indiana,2019,1,14,14,Romeo Langford,Romeo Langford_2019,Indiana
Sekou Doumbouya,Detroit Pistons,Limoges CSP (France),2019,1,15,15,Sekou Doumbouya,Sekou Doumbouya_2019,Limoges CSP (France)
Chuma Okeke,Orlando Magic,Auburn,2019,1,16,16,Chuma Okeke,Chuma Okeke_2019,Auburn
Nickeil Alexander-Walker,Brooklyn Nets,Virginia Tech,2019,1,17,17,Nickeil Alexander-Walker,Nickeil Alexander-Walker_2019,Virginia Tech
Goga Bitadze,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18,Goga Bitadze,Goga Bitadze_2019,KK Mega Leks (Serbia)
Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19,Luka Samanic,Luka Samanic_2019,KK Olimpija (Slovenia)
Matisse Thybulle,Boston Celtics,Washington,2019,1,20,20,Matisse Thybulle,Matisse Thybulle_2019,Washington
Brandon Clarke,Oklahoma City Thunder,Gonzaga,2019,1,21,21,Brandon Clarke,Brandon Clarke_2019,Gonzaga
Grant Williams,Boston Celtics,Tennessee,2019,1,22,22,Grant Williams,Grant Williams_2019,Tennessee
Darius Bazley,Utah Jazz,Princeton,2019,1,23,23,Darius Bazley,Darius Bazley_2019,Princeton
Ty Jerome,Philadelphia 76ers,Virginia,2019,1,24,24,Ty Jerome,Ty Jerome_2019,Virginia
Nassir Little,Portland Trail Blazers,North Carolina,2019,1,25,25,Nassir Little,Nassir Little_2019,North Carolina
Dylan Windler,Cleveland Cavaliers,Belmont,2019,1,26,26,Dylan Windler,Dylan Windler_2019,Belmont
Mfiondu Kabengele,Brooklyn Nets,Florida State,2019,1,27,27,Mfiondu Kabengele,Mfiondu Kabengele_2019,Florida St.
Jordan Poole,Golden State Warriors,Michigan,2019,1,28,28,Jordan Poole,Jordan Poole_2019,Michigan
Keldon Johnson,San Antonio Spurs,Kentucky,2019,1,29,29,Keldon Johnson,Keldon Johnson_2019,Kentucky
Kevin Porter Jr.,Milwaukee Bucks,Southern California,2019,1,30,30,Kevin Porter Jr,Kevin Porter Jr_2019,Southern California
Nic Claxton,Brooklyn Nets,Georgia,2019,2,1,31,Nic Claxton,Nic Claxton_2019,Georgia
KZ Okpala,Phoenix Suns,Stanford,2019,2,2,32,Kz Okpala,Kz Okpala_2019,Stanford
Carsen Edwards,Philadelphia 76ers,Purdue,2019,2,3,33,Carsen Edwards,Carsen Edwards_2019,Purdue
Bruno Fernando,Philadelphia 76ers,Maryland,2019,2,4,34,Bruno Fernando,Bruno Fernando_2019,Maryland
Didi Louzada,Atlanta Hawks,Sesi Franca (Brazil),2019,2,5,35,Didi Louzada,Didi Louzada_2019,Sesi Franca (Brazil)
Cody Martin,Charlotte Hornets,North Carolina State,2019,2,6,36,Cody Martin,Cody Martin_2019,North Carolina St.
Deividas Sirvydis,Dallas Mavericks,BC Lietuvos rytas (Lithuania),2019,2,7,37,Deividas Sirvydis,Deividas Sirvydis_2019,BC Lietuvos rytas (Lithuania)
Daniel Gafford,Chicago Bulls,Arkansas,2019,2,8,38,Daniel Gafford,Daniel Gafford_2019,Arkansas
Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39,Alen Smailagic,Alen Smailagic_2019,Santa Cruz (G League)
Justin James,Sacramento Kings,Wyoming,2019,2,10,40,Justin James,Justin James_2019,Wyoming
Eric Paschall,Golden State Warriors,Villanova,2019,2,11,41,Eric Paschall,Eric Paschall_2019,Villanova
Admiral Schofield,Philadelphia 76ers,Tennessee,2019,2,12,42,Admiral Schofield,Admiral Schofield_2019,Tennessee
Jaylen Nowell,Minnesota Timberwolves,Washington,2019,2,13,43,Jaylen Nowell,Jaylen Nowell_2019,Washington
Bol Bol,Miami Heat,Oregon,2019,2,14,44,Bol Bol,Bol Bol_2019,Oregon
Isaiah Roby,Detroit Pistons,Nebraska,2019,2,15,45,Isaiah Roby,Isaiah Roby_2019,Nebraska
Talen Horton-Tucker,Orlando Magic,Iowa State,2019,2,16,46,Talen Horton-Tucker,Talen Horton-Tucker_2019,Iowa St.
Ignas Brazdeikis,Sacramento Kings,Michigan,2019,2,17,47,Ignas Brazdeikis,Ignas Brazdeikis_2019,Michigan
Terance Mann,LA Clippers,Florida State,2019,2,18,48,Terance Mann,Terance Mann_2019,Florida St.
Quinndary Weatherspoon,San Antonio Spurs,Mississippi State,2019,2,19,49,Quinndary Weatherspoon,Quinndary Weatherspoon_2019,Mississippi St.
Jarrell Brantley,Indiana Pacers,College of Charleston,2019,2,20,50,Jarrell Brantley,Jarrell Brantley_2019,College of Charleston
Tremont Waters,Boston Celtics,Louisiana State,2019,2,21,51,Tremont Waters,Tremont Waters_2019,Louisiana Tech
Jalen McDaniels,Charlotte Hornets,San Diego,2019,2,22,52,Jalen McDaniels,Jalen McDaniels_2019,San Diego
Justin Wright-Foreman,Utah Jazz,Hofstra,2019,2,23,53,Justin Wright-Foreman,Justin Wright-Foreman_2019,Hofstra
Marial Shayok,Philadelphia 76ers,Virginia,2019,2,24,54,Marial Shayok,Marial Shayok_2019,Virginia
Kyle Guy,New York Knicks,Virginia,2019,2,25,55,Kyle Guy,Kyle Guy_2019,Virginia
Jaylen Hands,LA Clippers,California-Los Angeles,2019,2,26,56,Jaylen Hands,Jaylen Hands_2019,California-Los Angeles
Jordan Bone,New Orleans Pelicans,Tennessee,2019,2,27,57,Jordan Bone,Jordan Bone_2019,Tennessee
Miye Oni,Golden State Warriors,Yale,2019,2,28,58,Miye Oni,Miye Oni_2019,Yale
Dewan Hernandez,Toronto Raptors,Miami (FL),2019,2,29,59,Dewan Hernandez,Dewan Hernandez_2019,Miami FL
Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60,Vanja Marinkovic,Vanja Marinkovic_2019,KK Partizan (Serbia)
Deandre Ayton,Phoenix Suns,Arizona,2018,1,1,1,Deandre Ayton,Deandre Ayton_2018,Arizona
Marvin Bagley III,Sacramento Kings,Duke,2018,1,2,2,Marvin Bagley Iii,Marvin Bagley Iii_2018,Duke
Luka Doncic,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3,Luka Doncic,Luka Doncic_2018,Real Madrid Baloncesto (Spain)
Jaren Jackson Jr.,Memphis Grizzlies,Michigan State,2018,1,4,4,Jaren Jackson Jr,Jaren Jackson Jr_2018,Michigan St.
Trae Young,Dallas Mavericks,Oklahoma,2018,1,5,5,Trae Young,Trae Young_2018,Oklahoma
Mo Bamba,Orlando Magic,Texas,2018,1,6,6,Mo Bamba,Mo Bamba_2018,Texas
Wendell Carter Jr.,Chicago Bulls,West Virginia,2018,1,7,7,Wendell Carter Jr,Wendell Carter Jr_2018,West Virginia
Collin Sexton,Cleveland Cavaliers,Alabama,2018,1,8,8,Collin Sexton,Collin Sexton_2018,Alabama
Kevin Knox II,New York Knicks,Kentucky,2018,1,9,9,Kevin Knox Ii,Kevin Knox Ii_2018,Kentucky
Mikal Bridges,Philadelphia 76ers,Villanova,2018,1,10,10,Mikal Bridges,Mikal Bridges_2018,Villanova
Shai Gilgeous-Alexander,Charlotte Hornets,Kentucky,2018,1,11,11,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander_2018,Kentucky
Miles Bridges,LA Clippers,Michigan State,2018,1,12,12,Miles Bridges,Miles Bridges_2018,Michigan St.
Jerome Robinson,LA Clippers,Boston College,2018,1,13,13,Jerome Robinson,Jerome Robinson_2018,Boston College
Michael Porter Jr.,Denver Nuggets,Missouri,2018,1,14,14,Michael Porter Jr,Michael Porter Jr_2018,Missouri
Troy Brown Jr.,Washington Wizards,Oregon,2018,1,15,15,Troy Brown Jr,Troy Brown Jr_2018,Oregon
Zhaire Smith,Phoenix Suns,Texas Tech,2018,1,16,16,Zhaire Smith,Zhaire Smith_2018,Texas Tech
Donte DiVincenzo,Milwaukee Bucks,Villanova,2018,1,17,17,Donte Divincenzo,Donte Divincenzo_2018,Villanova
Lonnie Walker IV,San Antonio Spurs,Miami (FL),2018,1,18,18,Lonnie Walker Iv,Lonnie Walker Iv_2018,Miami FL
Kevin Huerter,Atlanta Hawks,Maryland,2018,1,19,19,Kevin Huerter,Kevin Huerter_2018,Maryland
Josh Okogie,Minnesota Timberwolves,Georgia Tech,2018,1,20,20,Josh Okogie,Josh Okogie_2018,Georgia Tech
Grayson Allen,Utah Jazz,Duke,2018,1,21,21,Grayson Allen,Grayson Allen_2018,Duke
Chandler Hutchison,Chicago Bulls,Boise State,2018,1,22,22,Chandler Hutchison,Chandler Hutchison_2018,Boise St.
Aaron Holiday,Indiana Pacers,California-Los Angeles,2018,1,23,23,Aaron Holiday,Aaron Holiday_2018,California-Los Angeles
Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24,Anfernee Simons,Anfernee Simons_2018,IMG Academy
Moritz Wagner,Los Angeles Lakers,Michigan,2018,1,25,25,Moritz Wagner,Moritz Wagner_2018,Michigan
Landry Shamet,Philadelphia 76ers,Wichita State,2018,1,26,26,Landry Shamet,Landry Shamet_2018,Wichita St.
Robert Williams III,Boston Celtics,Texas A&M,2018,1,27,27,Robert Williams Iii,Robert Williams Iii_2018,Texas A&M
Jacob Evans,Golden State Warriors,Cincinnati,2018,1,28,28,Jacob Evans,Jacob Evans_2018,Cincinnati
Dzanan Musa,Brooklyn Nets,KK Cedevita (Croatia),2018,1,29,29,Dzanan Musa,Dzanan Musa_2018,KK Cedevita (Croatia)
Omari Spellman,Atlanta Hawks,Villanova,2018,1,30,30,Omari Spellman,Omari Spellman_2018,Villanova
Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31,Elie Okobo,Elie Okobo_2018,Elan Bearnais Pau-Orthez (France)
Jevon Carter,Memphis Grizzlies,West Virginia,2018,2,2,32,Jevon Carter,Jevon Carter_2018,West Virginia
Jalen Brunson,Dallas Mavericks,Villanova,2018,2,3,33,Jalen Brunson,Jalen Brunson_2018,Villanova
Devonte' Graham,Atlanta Hawks,Kansas,2018,2,4,34,Devonte' Graham,Devonte' Graham_2018,Kansas
Melvin Frazier Jr.,Orlando Magic,Tulane,2018,2,5,35,Melvin Frazier Jr,Melvin Frazier Jr_2018,Tulane
Mitchell Robinson,New York Knicks,,2018,2,6,36,Mitchell Robinson,Mitchell Robinson_2018,
Gary Trent Jr.,Sacramento Kings,Duke,2018,2,7,37,Gary Trent Jr,Gary Trent Jr_2018,Duke
Khyri Thomas,Philadelphia 76ers,Creighton,2018,2,8,38,Khyri Thomas,Khyri Thomas_2018,Creighton
Isaac Bonga,Philadelphia 76ers,Fraport Skyliners (Germany),2018,2,9,39,Isaac Bonga,Isaac Bonga_2018,Fraport Skyliners (Germany)
Rodions Kurucs,Brooklyn Nets,FC Barcelona Basquet (Spain),2018,2,10,40,Rodions Kurucs,Rodions Kurucs_2018,FC Barcelona Basquet (Spain)
Jarred Vanderbilt,Orlando Magic,Kentucky,2018,2,11,41,Jarred Vanderbilt,Jarred Vanderbilt_2018,Kentucky
Bruce Brown,Detroit Pistons,Miami (FL),2018,2,12,42,Bruce Brown,Bruce Brown_2018,Miami FL
Justin Jackson,Denver Nuggets,Maryland,2018,2,13,43,Justin Jackson,Justin Jackson_2018,Maryland
